seg_idx,circuitid,substation,division,mid_lat,mid_lon
267,013471119,01347,East Bay,37.936590734862286,-122.3562872138793
268,013471120,01347,East Bay,37.92459114466071,-122.36815645481086
269,013471120,01347,East Bay,37.93413807947747,-122.36476389212051
270,013471121,01347,East Bay,37.925366063775975,-122.37029141395138
271,013471122,01347,East Bay,37.926721233865706,-122.37222998818301
272,013471123,01347,East Bay,37.9204292587122,-122.3774428144516
273,013471124,01347,East Bay,37.9634804069636,-122.36071103957654
274,013471125,01347,East Bay,37.92528826285071,-122.35780272407636
275,013471126,01347,East Bay,37.965179120619254,-122.35840838365883
276,013471127,01347,East Bay,37.956264575491154,-122.4176020783679
277,013471128,01347,East Bay,37.9259758034217,-122.31786485613415
278,013471129,01347,East Bay,37.95990947014192,-122.36381434299426
279,013471130,01347,East Bay,37.9537261862239,-122.34366615268135
280,013480401,01348,Mission,37.72637360884053,-122.1403573347146
281,013501101,01350,Mission,37.63356270597149,-122.05173434777923
282,013501103,01350,Mission,37.60826772753605,-122.0535324057679
283,013501104,01350,Mission,37.61127995167857,-122.03936367697152
284,013501105,01350,Mission,37.562683769192574,-122.00325787654135
285,013501106,01350,Mission,37.59854460200663,-122.0350807821586
